2025-10-21 14:00:37, MOVE, v:1, k:poo@motoca, mode:PICK
2025-10-21 14:00:39, EXEC, v:1, k:poo@motoca, mode:FULL, rate:0, size:54
2025-10-21 14:13:47, EXEC, v:1, k:poo@motoca, mode:FULL, rate:0, size:82
2025-10-21 14:13:57, EXEC, v:1, k:poo@motoca, mode:FULL, rate:0, size:82
2025-10-21 14:15:56, EXEC, v:1, k:poo@motoca, mode:FULL, rate:0, size:84
2025-10-21 14:17:32, EXEC, v:1, k:poo@motoca, mode:FULL, rate:0, size:90
2025-10-21 14:17:45, EXEC, v:1, k:poo@motoca, mode:FULL, rate:0, size:90
2025-10-21 14:18:56, EXEC, v:1, k:poo@motoca, mode:FULL, rate:0, size:90
2025-10-21 14:19:09, EXEC, v:1, k:poo@motoca, mode:FULL, rate:0, size:90
2025-10-21 14:19:23, EXEC, v:1, k:poo@motoca, mode:FULL, rate:0, size:90
2025-10-21 14:19:32, EXEC, v:1, k:poo@motoca, mode:FULL, rate:0, size:90
2025-10-21 14:20:17, EXEC, v:1, k:poo@motoca, mode:FULL, rate:0, size:90
2025-10-21 14:20:35, EXEC, v:1, k:poo@motoca, mode:FULL, rate:0, size:90
2025-10-21 14:21:07, EXEC, v:1, k:poo@motoca, mode:FULL, rate:0, size:90
2025-10-21 14:22:21, EXEC, v:1, k:poo@motoca, mode:FULL, rate:0, size:85
2025-10-21 14:24:58, EXEC, v:1, k:poo@motoca, mode:FULL, rate:0, size:85
2025-10-21 14:27:29, EXEC, v:1, k:poo@motoca, mode:FULL, rate:0, size:85
2025-10-21 14:27:59, EXEC, v:1, k:poo@motoca, mode:FULL, rate:0, size:86
2025-10-21 14:28:19, EXEC, v:1, k:poo@motoca, mode:FULL, rate:0, size:86
2025-10-21 14:28:34, EXEC, v:1, k:poo@motoca, mode:FULL, rate:0, size:86
2025-10-21 14:29:34, EXEC, v:1, k:poo@motoca, mode:FULL, rate:0, size:86
2025-10-21 14:30:21, EXEC, v:1, k:poo@motoca, mode:FULL, rate:0, size:86
2025-10-21 14:30:59, EXEC, v:1, k:poo@motoca, mode:FULL, rate:0, size:86
2025-10-21 14:31:27, EXEC, v:1, k:poo@motoca, mode:FULL, rate:0, size:86
2025-10-21 14:33:05, EXEC, v:1, k:poo@motoca, mode:FULL, rate:6, size:88
2025-10-21 14:34:08, EXEC, v:1, k:poo@motoca, mode:FULL, rate:6
2025-10-21 14:37:36, EXEC, v:1, k:poo@motoca, mode:FULL, rate:6, size:89
2025-10-21 14:38:36, EXEC, v:1, k:poo@motoca, mode:FULL, rate:6, size:88
2025-10-21 14:38:59, EXEC, v:1, k:poo@motoca, mode:FULL, rate:6, size:88
2025-10-21 14:39:22, EXEC, v:1, k:poo@motoca, mode:FULL, rate:6, size:88
2025-10-21 14:40:23, EXEC, v:1, k:poo@motoca, mode:FULL, rate:6, size:86
2025-10-21 14:44:18, EXEC, v:1, k:poo@motoca, mode:FULL, rate:0, size:89
2025-10-21 14:45:55, EXEC, v:1, k:poo@motoca, mode:FULL, rate:0, size:91
2025-10-21 14:48:14, EXEC, v:1, k:poo@motoca, mode:FULL, rate:6, size:92
2025-10-21 14:48:48, EXEC, v:1, k:poo@motoca, mode:FULL, rate:6, size:93
2025-10-21 14:49:20, EXEC, v:1, k:poo@motoca, mode:FULL, rate:6, size:93
2025-10-21 14:50:24, EXEC, v:1, k:poo@motoca, mode:FULL, rate:6, size:93
2025-10-21 14:52:23, EXEC, v:1, k:poo@motoca, mode:FULL, rate:6, size:94
2025-10-21 14:58:11, EXEC, v:1, k:poo@motoca, mode:FULL, rate:6, size:94
2025-10-21 14:59:01, EXEC, v:1, k:poo@motoca, mode:FULL, rate:13, size:94
2025-10-21 14:59:49, EXEC, v:1, k:poo@motoca, mode:FULL, rate:6, size:94
2025-10-21 15:00:12, EXEC, v:1, k:poo@motoca, mode:FULL, rate:13, size:94
2025-10-21 15:00:40, EXEC, v:1, k:poo@motoca, mode:FULL, rate:20, size:94
2025-10-21 15:09:31, EXEC, v:1, k:poo@motoca, mode:FULL, rate:20, size:98
2025-10-21 15:14:09, EXEC, v:1, k:poo@motoca, mode:FULL, rate:20, size:98
2025-10-21 15:14:22, EXEC, v:1, k:poo@motoca, mode:FULL, rate:20, size:98
2025-10-21 15:15:17, EXEC, v:1, k:poo@motoca, mode:FULL, rate:20, size:99
2025-10-21 15:16:15, EXEC, v:1, k:poo@motoca, mode:FULL, rate:20, size:99
2025-10-21 15:16:41, EXEC, v:1, k:poo@motoca, mode:FULL, rate:33, size:99
